"Country","Undernourished1990_1992","Undernourished1994_1996","Undernourished1999_2001","Undernourished2004_2006","Undernourished2011_2013","PercentUnderweightChildrenLT5_1998_1992","PercentUnderweightChildrenLT5_1993_1997","PercentUnderweightChildrenLT5_1998_2002","PercentUnderweightChildrenLT5_2003_2007","PercentUnderweightChildrenLT5_2009_2013","MortalityUnder5_1990","MortalityUnder5_1995","MortalityUnder5_2000","MortalityUnder5_2005","MortalityUnder5_2012","GHI_1988_1992","GHI_1993_1997","GHI_1998_2002","GHI_2003_2007","GHI_2009_2013"
"Afghanistan",NA,NA,NA,NA,NA,NA,44.9,36.5,32.8,25,17.6,14.8,13.4,11.8,9.9,"","","","",""
"Albania",9,2.4,3.8,9.7,7.8,14.1,12.8,17,6.6,6.3,4.3,3.6,2.9,2.2,1.7,"9.1","6.3","7.9","6.2","5.3"
"Algeria",5.5,6.3,6.3,5,2.4,9.2,11.3,5.4,3.7,3.6,5,4.4,3.5,2.6,2,"6.6","7.3","5.1","<5","<5"
"Angola",63.2,58.6,49,37.9,24.4,37.8,37,27.5,15.1,11.3,21.3,21,20.3,19.4,16.4,"40.8","38.9","32.3","24.1","17.4"
"Argentina",2.1,1.2,1,1.9,3.4,3.4,3.2,2.4,2.3,2.3,2.8,2.3,2,1.7,1.4,"<5","<5","<5","<5","<5"
"Armenia",NA,22.6,21.5,6.9,2.6,NA,5.1,2.6,4.2,5.3,NA,3.9,3,2.3,1.6,"","10.5","9","<5","<5"
"Azerbaijan",NA,26.6,14.9,2.2,1.1,NA,8.8,14,8.4,4.1,NA,9,7.2,5.1,3.5,"","14.8","12","5.2","<5"
"Bahrain",NA,NA,NA,NA,NA,6.3,7.6,NA,NA,NA,2.3,1.8,1.3,1.1,1,"","","","",""
"Bangladesh",33.9,36.7,18,15.3,16.3,61.5,55.2,45.3,37.3,36.8,14.4,11.4,8.8,6.8,4.1,"36.6","34.4","24","19.8","19.1"
"Belarus",NA,1.1,2.3,2.8,0.4,NA,2.4,1.1,1.3,0.8,NA,1.8,1.4,0.9,0.5,"","<5","<5","<5","<5"
"Benin",22.4,19.6,17.8,13.8,6.1,27,26.2,21.5,20.2,18.4,18.1,15.8,14.7,12,9,"22.5","20.5","18","15.3","11.2"
"Bhutan",NA,NA,NA,NA,NA,34,24.5,14.1,14.3,12.8,13.1,10.4,8,6.1,4.5,"","","","",""
"Bolivia",33.9,31,29.9,29.9,21.3,9.7,9.2,5.9,5.9,4.4,12.3,10.1,7.8,5.8,4.1,"18.6","16.8","14.5","13.9","9.9"
"Bosnia & Herzegovina",NA,6.4,6.3,2.1,2.2,NA,3.5,4.2,1.6,1.5,NA,1.4,1,0.9,0.7,"","<5","<5","<5","<5"
"Botswana",25.1,28.2,35,32.6,25.7,17,15.1,10.7,11.2,9.2,4.8,6.3,8.5,6.7,5.3,"15.6","16.5","18.1","16.8","13.4"
"Brazil",15,13.9,12.9,8.9,6.9,5.3,4.5,3.2,3,2.1,6.2,4.7,3.3,2.3,1.4,"8.8","7.7","6.5","<5","<5"
"Bulgaria",3.5,7.8,7,7.9,7.2,4,3.1,2.6,2.2,1.8,2.2,2.3,2.1,1.6,1.2,"<5","<5","<5","<5","<5"
"Burkina Faso",22.9,18.3,26.5,25.8,25,37.8,29.6,33.7,37.6,24.4,20.2,19.9,18.6,16,10.2,"27","22.6","26.3","26.5","19.9"
"Burundi",44.4,57.9,62.1,68.5,67.3,35.1,37.1,38.9,35.2,29.1,16.4,15.7,15,13.4,10.4,"32","36.9","38.7","39","35.6"
"Cambodia",39.4,37.6,33.6,27.7,15.4,47.6,42.6,39.5,28.4,29,11.6,12.1,11.1,6.3,4,"32.9","30.8","28.1","20.8","16.1"
"Cameroon",38.3,39.4,31.7,21.4,13.3,18,19.3,17.3,15.9,15.1,13.5,15.1,15,12.4,9.5,"23.3","24.6","21.3","16.6","12.6"
"Central African Republic",48.5,51.8,46,43.1,28.2,25.4,22.2,21.8,28,23.5,17.1,16.8,16.4,15.7,12.9,"30.3","30.3","28.1","28.9","21.5"
"Chad",60.1,51.8,41.7,38,29.4,38.2,34.3,29.4,33.9,30.3,20.9,20,18.9,17.6,15,"39.7","35.4","30","29.8","24.9"
"Chile",9,5.8,4.5,3.1,3,0.9,0.8,0.7,0.6,0.5,1.9,1.3,1.1,0.9,0.9,"<5","<5","<5","<5","<5"
"China",22.9,16.6,14.4,13.4,11.4,12.6,10.7,7.4,4.5,3.4,5.4,4.7,3.7,2.4,1.4,"13.6","10.7","8.5","6.8","5.4"
"Colombia",20.3,15.2,13.1,13.8,10.6,8.8,6.3,4.9,5.1,3.4,3.5,3,2.5,2.2,1.8,"10.9","8.2","6.8","7","5.3"
"Comoros",41.4,48.2,67.1,58.6,65.3,15.2,21.1,25,22.1,15.3,12.4,10.7,9.9,9.4,7.8,"23","26.7","34","30","29.5"
"Congo, Dem. Rep.",NA,NA,NA,NA,NA,21.5,30.7,33.6,28.2,24.2,17.1,17.1,17.1,17.1,14.6,"","","","",""
"Congo, Rep.",42.4,45.4,32.6,31.9,33,15.3,11.7,10.4,11.8,11.6,10,11,11.8,11.3,9.6,"22.6","22.7","18.3","18.3","18.1"
"Costa Rica",4,5,4.3,5,8.2,2.5,2.9,1.9,1.5,1.1,1.7,1.5,1.3,1,1,"<5","<5","<5","<5","<5"
"Croatia",NA,14.6,11.6,2.1,1.4,NA,0.5,0.5,0.4,0.3,NA,1,0.8,0.7,0.5,"","5.4","<5","<5","<5"
"Cuba",7.8,20,2.9,1.1,0.6,4.4,4.2,3.4,3.5,2.1,1.3,1.1,0.8,0.7,0.6,"<5","8.4","<5","<5","<5"
"Côte d'Ivoire",13.3,14.2,20,19.6,20.5,20.6,20.3,18.2,16.7,15.7,15.2,15.2,14.5,13.1,10.8,"16.4","16.6","17.6","16.5","15.7"
"Djibouti",70.2,60.8,49.4,37.2,20.5,20.2,16,25.4,29.6,29.8,11.9,11.3,10.8,9.9,8.1,"34.1","29.4","28.5","25.6","19.5"
"Dominican Republic",32.5,24.9,22.3,20.9,15.6,8.4,4.7,3.5,4.6,2.8,6,4.9,4,3.4,2.7,"15.6","11.5","9.9","9.6","7"
"Ecuador",26.4,19.4,20,21.8,16.3,12.6,12,12.5,6.2,5,5.6,4.3,3.4,2.9,2.3,"14.9","11.9","12","10.3","7.9"
"Egypt, Arab Rep.",2,1.6,1.5,2.2,1.3,10.5,10.8,9.8,5.4,4.5,8.6,6.4,4.5,3.1,2.1,"7","6.3","5.3","<5","<5"
"El Salvador",15.3,14.8,10.9,10.7,11.9,11.1,7.2,9.6,6.1,5.1,5.9,4.4,3.2,2.3,1.6,"10.8","8.8","7.9","6.4","6.2"
"Eritrea",NA,72.4,76.5,75.6,61.3,NA,39.6,34.5,33.9,34.8,NA,11.7,8.9,7,5.2,"","41.2","40","38.8","33.8"
"Estonia",NA,6.4,4.3,4.3,3.3,NA,1.7,0.9,0.8,0.7,NA,1.6,1.1,0.7,0.4,"","<5","<5","<5","<5"
"Ethiopia",NA,67.5,55.7,46.8,37.1,41.9,42.7,42,34.6,29.2,20.4,17.5,14.6,11,6.8,"","42.6","37.4","30.8","24.4"
"Fiji",6.6,6.4,4.8,2.9,2.7,9,6.9,6.2,5.3,6.3,3.1,2.7,2.4,2.2,2.2,"6.2","5.3","<5","<5","<5"
"Gabon",9.5,8.6,5.9,6.1,5.6,11.4,8.4,8.8,8.2,6.5,9.2,8.9,8.6,7.9,6.2,"10","8.6","7.8","7.4","6.1"
"Gambia, The",18.2,23.8,19.4,20.1,16,20.8,23.2,15.4,15.8,17.4,17,14.1,11.6,9.5,7.3,"18.7","20.4","15.5","15.1","13.6"
"Georgia",NA,NA,NA,NA,NA,NA,3.6,2.7,2.3,1.1,NA,4.5,3.4,2.6,2,"","","","",""
"Ghana",44.4,23.5,17.8,11.2,2.9,24.4,25.8,20.3,13.9,13.4,12.8,11.3,10.3,8.8,7.2,"27.2","20.2","16.1","11.3","7.8"
"Guatemala",16.9,19.9,27.2,29.8,30.5,22,21.7,19.6,17,13,8,6.3,5.1,4.1,3.2,"15.6","16","17.3","17","15.6"
"Guinea",18.2,20.7,21.1,17.9,15.2,23.6,21.2,29.1,22.5,17.5,24.1,20.9,17.1,13.5,10.1,"22","20.9","22.4","18","14.3"
"Guinea-Bissau",21.8,20.7,22.3,19,10.1,25.3,21.2,21.9,17.4,18.1,20.6,19.2,17.4,15.6,12.9,"22.6","20.4","20.5","17.3","13.7"
"Guyana",22,14.2,7.9,8.7,5,15.6,13.2,11.9,10.8,11.1,6,5.3,4.6,4.2,3.5,"14.5","10.9","8.1","7.9","6.5"
"Haiti",62.7,62.4,51.4,55.8,49.8,23.7,24,13.9,18.9,11.6,14.4,12.4,10.5,9.1,7.6,"33.6","32.9","25.3","27.9","23"
"Honduras",22,19.2,17.2,15.2,8.7,15.8,17.7,12.5,8.6,7.1,5.9,4.7,3.8,3.1,2.3,"14.6","13.9","11.2","9","6"
"India",25.5,24.9,21.1,21.5,17,55.5,44.8,46.3,43.5,30.7,12.6,10.9,9.2,7.5,5.6,"31.2","26.9","25.5","24.2","17.8"
"Indonesia",22.2,16.4,19.9,17.1,9.1,31,30.3,23.3,24.4,18.6,8.4,6.7,5.2,4.2,3.1,"20.5","17.8","16.1","15.2","10.3"
"Iran, Islamic Rep.",3.4,3.5,4.3,5.7,4.5,16.5,13.8,9.5,4.6,4.1,5.6,4.5,3.5,2.6,1.8,"8.5","7.3","5.8","<5","<5"
"Iraq",10,19.8,20.9,23.2,26.2,10.4,10.9,12.9,7.6,8.5,5.3,4.9,4.5,4.1,3.4,"8.6","11.9","12.8","11.6","12.7"
"Jamaica",10.1,8.1,7.4,7,8.6,5.2,4,3.8,3.4,3.2,3,2.6,2.3,2.1,1.7,"6.1","<5","<5","<5","<5"
"Jordan",6.1,9.5,7.9,2.9,3.1,4.8,3.8,3.6,3,3,3.7,3.2,2.8,2.4,1.9,"<5","5.5","<5","<5","<5"
"Kazakhstan",NA,0.8,15.3,1.1,0.4,NA,4.4,3.8,4.9,3.7,NA,5.4,4.4,3.3,1.9,"","<5","7.8","<5","<5"
"Kenya",34.8,32.1,32.2,30.5,25.8,19.9,19.8,17.5,18.4,16.4,9.8,11.1,11,9.7,7.3,"21.5","21","20.2","19.5","16.5"
"Kuwait",39.3,5.3,1.6,0.9,1.5,5.9,9.2,2.2,2.7,2.2,1.6,1.4,1.3,1.2,1.1,"15.6","5.3","<5","<5","<5"
"Kyrgyz Republic",NA,16.6,16.8,9.6,5.9,NA,10.4,5.2,2.7,3.7,NA,6.6,5,4,2.7,"","11.2","9","5.4","<5"
"Lao PDR",44.7,44,39.8,33.5,26.7,42.4,35.9,36.4,31.6,26.5,16.3,14.2,12,9.8,7.2,"34.5","31.4","29.4","25","20.1"
"Latvia",NA,2,5.6,3.3,4.3,NA,0.9,1.2,0.9,0.7,NA,2.3,1.7,1.3,0.9,"","<5","<5","<5","<5"
"Lebanon",3.4,4,3.5,3.3,2.9,5.2,3.5,3.6,4.2,3.2,3.3,2.6,2,1.4,0.9,"<5","<5","<5","<5","<5"
"Lesotho",17,18.1,17.5,16.2,15.7,13.8,18.9,15,16.6,13.5,8.5,9.2,11.4,12.3,10,"13.1","15.4","14.6","15","13.1"
"Liberia",29.6,42.2,34.8,29.8,28.6,19,21.6,22.8,20.4,14.3,24.8,23,17.6,11.9,7.5,"24.5","28.9","25.1","20.7","16.8"
"Libya",1,1.2,1.6,1.5,1.4,7.3,4.3,4.7,5.6,4.9,4.3,3.4,2.8,2.3,1.5,"<5","<5","<5","<5","<5"
"Lithuania",NA,4,2.3,1.5,1.2,NA,1.4,0.9,0.7,0.6,NA,1.7,1.2,1,0.5,"","<5","<5","<5","<5"
"Macedonia, FYR",NA,12.3,6.8,4.5,4.4,NA,2.1,1.9,1.8,1.3,NA,2.5,1.6,1.4,0.7,"","5.6","<5","<5","<5"
"Madagascar",24.4,30.7,32.4,30.6,27.2,35.5,30.4,38.9,36.8,32.8,15.9,13.7,10.9,8.1,5.8,"25.3","24.9","27.4","25.2","21.9"
"Malawi",45.2,38.7,26.7,26.4,20,24.4,26.5,21.5,18.4,13.8,24.4,21.3,17.4,12,7.1,"31.3","28.8","21.9","18.9","13.6"
"Malaysia",4.5,2.1,2.9,3.5,3.6,22.1,17.7,16.7,12.9,11.8,1.7,1.3,1,0.8,0.9,"9.4","7","6.9","5.7","5.4"
"Mali",24.9,26.7,22.3,16.8,7.3,31.3,30.8,30.1,27.9,18.9,25.3,24,22,17.3,12.8,"27.2","27.2","24.8","20.7","13"
"Mauritania",12.9,11.6,9.7,9.8,7.8,43.3,32.7,30.4,23.2,19.5,12.8,11.9,11.1,10.2,8.4,"23","18.7","17.1","14.4","11.9"
"Mauritius",8.6,7.5,6.7,5.9,5.4,13.9,13,11.5,10.4,8.2,2.3,2.2,1.9,1.6,1.5,"8.3","7.6","6.7","6","5"
"Mexico",3.2,3.1,3,0.1,0.7,9.6,10.3,6,3.4,2.8,4.6,3.5,2.5,2,1.6,"5.8","5.6","<5","<5","<5"
"Moldova",NA,15.4,19.8,16.6,28.2,NA,4.6,4.1,3.2,2.3,NA,3.6,3,2.3,1.8,"","7.9","9","7.4","10.8"
"Mongolia",38.4,48.5,37.5,32.6,21.2,11.8,12.3,11.6,5.3,4.7,10.7,8.5,6.3,4.3,2.8,"20.3","23.1","18.5","14.1","9.6"
"Montenegro",NA,NA,NA,NA,2.3,NA,NA,NA,2.2,0.7,NA,NA,NA,NA,0.6,"","","","","<5"
"Morocco",6.7,7.2,6.6,5.3,5,8.1,7.7,6.8,9.9,3.1,8,6.3,5,4.1,3.1,"7.6","7.1","6.1","6.4","<5"
"Mozambique",57.8,52.1,45.1,39.9,36.8,24.4,23.9,23,21.2,15.6,23.3,20.8,16.6,13.2,9,"35.2","32.3","28.2","24.8","20.5"
"Myanmar",NA,NA,NA,NA,NA,32.5,38.7,30.1,29.6,22.6,10.6,9.2,7.9,6.7,5.2,"","","","",""
"Namibia",36.2,39,27.7,25.2,29.3,21.5,20.1,20.3,17.5,17.5,7.3,6.9,7.3,6.7,3.9,"21.7","22","18.4","16.5","16.9"
"Nepal",25.4,26.8,24.3,21.8,16,45.6,42.6,43,38.8,29.1,14.2,10.9,8.2,6.1,4.2,"28.4","26.8","25.2","22.2","16.4"
"Nicaragua",55.1,44.2,34.3,26.8,21.7,10.4,9.6,7.8,4.3,4.8,6.6,5.2,4,3.2,2.4,"24","19.7","15.4","11.4","9.6"
"Niger",35.5,40.5,27.4,22,13.9,41,40,43.6,39.9,37.9,32.6,27.9,22.7,17.4,11.4,"36.4","36.1","31.2","26.4","21.1"
"Nigeria",21.3,12.9,10.2,7.8,7.3,35.1,35.1,24.7,26.5,24.4,21.3,20.9,18.8,15.8,12.4,"25.9","23","17.9","16.7","14.7"
"North Korea",23.7,34.1,37.8,34,31,25.5,25.8,24.7,20.6,15.2,4.4,7.3,6,3.3,2.9,"17.9","22.4","22.8","19.3","16.4"
"Oman",NA,NA,NA,NA,NA,18.6,10.4,11.3,10.4,8.6,3.9,2.5,1.7,1.3,1.2,"","","","",""
"Pakistan",27.2,23.2,23.8,22.2,17.2,39,34.2,31.3,30.8,31.6,13.8,12.6,11.2,10.1,8.6,"26.7","23.3","22.1","21","19.1"
"Panama",23.3,22.8,27.5,21,8.7,8.2,6.3,5.4,5.1,3.3,3.2,2.9,2.6,2.3,1.9,"11.6","10.7","11.8","9.5","<5"
"Papua New Guinea",NA,NA,NA,NA,NA,24.2,19.8,17.8,18,27.2,8.9,8.3,7.9,7.5,6.3,"","","","",""
"Paraguay",20.2,15.1,13,12.6,22.3,2.8,3.2,4,3.4,2,4.6,3.8,3.3,2.8,2.2,"9.2","7.4","6.8","6.3","8.8"
"Peru",31.6,25.8,22.5,21.9,11.8,8.8,5.7,5.2,5.4,3.4,7.9,5.8,4,2.8,1.8,"16.1","12.4","10.6","10","5.7"
"Philippines",24.5,21.7,21.3,19.7,16.2,29.9,26.3,28.3,20.7,20.2,5.9,4.6,4,3.6,3,"20.1","17.5","17.9","14.7","13.1"
"Qatar",NA,NA,NA,NA,NA,NA,4.8,0.8,0.6,0.3,2.1,1.5,1.2,1,0.7,"","","","",""
"Romania",2.2,2.1,1.3,0.4,0.4,5,3.8,3.7,3.3,2.6,3.8,3.3,2.7,2.1,1.2,"<5","<5","<5","<5","<5"
"Russian Federation",NA,5,4.7,2,1.8,NA,2.6,2.2,0.7,0.6,NA,2.6,2.3,1.7,1,"","<5","<5","<5","<5"
"Rwanda",52.3,57.3,53.4,43.5,29.7,24.3,22.6,20.3,18,11.7,15.1,25.3,18.2,10.7,5.5,"30.6","35.1","30.6","24.1","15.6"
"Saudi Arabia",2.9,3.4,1.3,2,1.6,12.3,12.9,7.6,5.3,4.9,4.7,3.1,2.2,1.5,0.9,"6.6","6.5","<5","<5","<5"
"Senegal",22,24.8,24.4,18.4,21.6,20.4,19.6,20.3,14.5,15.7,14.2,14.5,13.9,9.9,6,"18.9","19.6","19.5","14.3","14.4"
"Serbia",NA,NA,NA,NA,4.1,NA,NA,NA,1.8,1.6,NA,NA,NA,NA,0.7,"","","","","<5"
"Sierra Leone",42.5,37.1,41.3,37.3,29.4,25.4,25.2,24.7,28.3,19.9,25.7,24.8,23.4,21.6,18.2,"31.2","29","29.8","29.1","22.5"
"Slovak Republic",NA,3.5,5.3,5.4,4.6,NA,4.3,3.7,3.3,2.4,NA,1.4,1.2,1,0.8,"","<5","<5","<5","<5"
"Somalia",NA,NA,NA,NA,NA,NA,NA,22.8,32.8,NA,17.7,17.1,17.1,17.1,14.7,"","","","",""
"South Africa",5.3,5.2,4.9,3.9,2.1,11,8,9.8,11.6,7.9,6.1,6,7.4,7.9,4.5,"7.5","6.4","7.4","7.8","<5"
"Sri Lanka",33.4,30.2,28.3,28,22.8,31,28.3,22.8,21.1,21.6,2.1,2.1,1.7,1.3,1,"22.2","20.2","17.6","16.8","15.1"
"Sudan (former)",41.9,32.1,29.5,30.6,38.9,34.5,31.8,38.4,31.7,31.2,15.7,13.8,12.1,10.1,8,"30.7","25.9","26.7","24.1","26"
"Suriname",17.5,16,18.1,16.8,10.2,11.4,10.1,11.4,7.5,5.8,5.1,4.1,3.3,2.6,2.1,"11.3","10.1","10.9","9","6"
"Swaziland",15.8,20.6,19.2,16.7,35.8,6.8,7.5,9.1,6.1,5.8,7.1,8.8,12.1,12.7,8,"9.9","12.3","13.5","11.8","16.5"
"Syrian Arab Republic",4.8,4.1,3.6,3.3,6,14.7,11.3,6,10,10.1,3.8,3,2.4,1.9,1.5,"7.8","6.1","<5","5.1","5.9"
"Tajikistan",NA,36,40.9,34,30.2,NA,17.1,16.8,14.9,13.3,NA,11.5,9.1,7.4,5.8,"","21.5","22.3","18.8","16.4"
"Tanzania",28.8,37.4,40.5,36.7,33,25.1,26.9,25.3,16.7,13.6,16.6,16,13.2,9,5.4,"23.5","26.8","26.3","20.8","17.3"
"Thailand",43.3,33.7,20,11.4,5.8,16.7,15.4,8.4,7,8,3.8,2.9,2.3,1.8,1.3,"21.3","17.3","10.2","6.7","5"
"Timor-Leste",NA,NA,NA,27.6,38.3,NA,NA,40.6,41.5,45.3,NA,NA,NA,8,5.7,"","","","25.7","29.8"
"Togo",34.8,28.1,26.4,20.5,15.5,21.7,16.7,23.8,22.3,16.5,14.3,13.3,12.2,11.2,9.6,"23.6","19.4","20.8","18","13.9"
"Trinidad & Tobago",12.4,15.5,13.3,14.1,7.6,4.4,4.4,4.4,3.4,2.4,3.3,3,2.8,2.5,2.1,"6.7","7.6","6.8","6.7","<5"
"Tunisia",1,1,0.7,0.9,0.9,7.9,8.1,3.5,3.3,2,5.1,3.9,3,2.3,1.6,"<5","<5","<5","<5","<5"
"Turkey",0.5,0.6,0.9,1,0.6,6.7,9,7,3.5,2.6,7.4,5.4,3.7,2.4,1.4,"<5","5","<5","<5","<5"
"Turkmenistan",NA,10.4,9,5.9,2.5,NA,12.1,10.5,8,5.8,NA,8.9,7.9,6.7,5.3,"","10.5","9.1","6.9","<5"
"Uganda",27.1,30.9,26.9,27.8,30.1,19.7,20.8,19,16.4,14.1,17.8,16.5,14.7,10.9,6.9,"21.5","22.7","20.2","18.4","17"
"Ukraine",NA,3.9,4.1,1.3,0.8,NA,2.2,4.1,0.7,1.1,NA,2.1,1.9,1.5,1.1,"","<5","<5","<5","<5"
"Uruguay",7.6,5.2,4.2,4.6,6.2,5.2,3.9,4.7,6,4,2.3,2.1,1.6,1.6,0.7,"5","<5","<5","<5","<5"
"Uzbekistan",NA,2.8,13.5,11.2,5.7,NA,13.3,7.1,4.4,4.2,NA,6.9,6.1,5.1,4,"","7.7","8.9","6.9","<5"
"Venezuela, RB",12.8,15.1,14.5,11.4,2.1,6.7,4.1,3.9,4.1,2.9,3,2.6,2.1,1.8,1.5,"7.5","7.3","6.8","5.8","<5"
"Vietnam",48.3,31.5,19.9,14.1,8.3,40.7,40.6,28.9,22.7,12,5.1,4,3.2,2.6,2.3,"31.4","25.4","17.3","13.1","7.5"
"Yemen, Rep.",29.2,31.3,31.2,33.2,28.8,48.5,40.9,42.5,43.1,35.5,12.5,11.2,9.7,7.8,6,"30.1","27.8","27.8","28","23.4"
"Zambia",33.8,33.7,43,46.6,43.1,21.2,19.6,19.6,14.9,17.7,19.2,18.8,16.9,12.7,8.9,"24.7","24","26.5","24.7","23.2"
"Zimbabwe",43.6,46.4,44.4,40.2,30.5,8,11.8,11.5,14,10.1,7.4,9.4,10.2,9.7,9,"19.7","22.5","22","21.3","16.5"
